order_id,customer_id,restaurant_id,driver_id,order_timestamp,order_date,order_hour,day_of_week,is_weekend,city,delivery_area,customer_age,customer_type,restaurant_type,restaurant_primary_category,restaurant_rating,items_count,subtotal,discount_percent,tax_amount,service_fee,delivery_fee,order_total,payment_method,tip_amount,distance_km,weather,traffic_level,delivery_partner_experience_months,delivery_partner_rating,restaurant_preparation_time_minutes,estimated_delivery_time_minutes,actual_delivery_time_minutes,late_delivery,order_status,cancellation_reason,customer_rating
ORD_000011,CUS_00015,RES_0006,DRV_0068,2025-10-23 12:25:00,2025-10-23,12,Thursday,0,City_A,City_A_Area_8,45,Regular,Casual Dining,Healthy,4.7,4,62.57,0,8.76,3.13,3.35,77.81,Credit Card,0.0,2.7,Clear,Medium,47,4.4,16,31,22.0,0,Completed,,4.5
ORD_000012,CUS_00002,RES_0093,DRV_0079,2025-10-27 20:54:00,2025-10-27,20,Monday,0,City_C,City_C_Area_8,28,Premium,Fast Food,Dessert,5.0,1,9.63,0,1.35,0.57,0.0,11.55,Cash,0.0,4.8,Clear,Medium,19,4.4,7,25,28.0,0,Completed,,4.6
ORD_000013,CUS_00145,RES_0152,DRV_0131,2025-10-09 19:45:00,2025-10-09,19,Thursday,0,City_A,City_A_Area_6,20,Regular,Cafe,Asian,3.9,1,6.48,0,0.91,0.42,4.35,12.16,Digital Wallet,1.13,4.7,Rain,High,44,4.7,6,28,41.0,1,Completed,,3.8
ORD_000014,CUS_00213,RES_0001,DRV_0101,2025-10-08 16:53:00,2025-10-08,16,Wednesday,0,City_A,City_A_Area_10,27,Regular,Fast Food,Local,3.9,1,8.04,0,1.13,0.46,5.75,15.38,Digital Wallet,0.0,7.5,Clear,Medium,11,4.0,9,35,39.0,0,Completed,,5.0
ORD_000015,CUS_00017,RES_0015,DRV_0059,2025-10-08 11:12:00,2025-10-08,11,Wednesday,0,City_A,City_A_Area_3,29,Regular,Cafe,Pizza,3.7,2,13.01,20,1.46,0.54,5.9,18.31,Digital Wallet,2.02,7.8,Clear,High,44,4.5,10,44,46.0,0,Completed,,4.7
ORD_000016,CUS_01036,RES_0009,DRV_0157,2025-10-03 20:03:00,2025-10-03,20,Friday,0,City_B,City_B_Area_5,23,New,Casual Dining,Dessert,4.6,7,96.67,20,10.83,5.41,3.3,96.88,Credit Card,13.86,2.6,Rain,Medium,33,4.6,35,40,48.0,1,Completed,,3.9
ORD_000017,CUS_00278,RES_0039,DRV_0117,2025-10-26 03:32:00,2025-10-26,3,Sunday,1,City_B,City_B_Area_6,25,Regular,Fast Food,Dessert,3.9,10,103.38,0,14.47,4.22,3.9,125.97,Cash,0.0,3.8,Clear,Low,50,4.4,33,41,45.0,0,Completed,,4.3
ORD_000018,CUS_00003,RES_0002,DRV_0095,2025-10-20 17:09:00,2025-10-20,17,Monday,0,City_D,City_D_Area_1,25,Regular,Fast Food,Burger,3.6,1,8.73,15,1.04,0.43,4.75,13.64,Cash,0.0,5.5,Cloudy,Medium,48,4.8,12,28,39.0,1,Completed,,3.6
ORD_000019,CUS_00634,RES_0006,DRV_0071,2025-10-04 19:38:00,2025-10-04,19,Saturday,1,City_A,City_A_Area_8,19,Premium,Casual Dining,Healthy,4.7,4,63.61,0,8.91,3.33,0.0,75.85,Credit Card,9.91,5.5,Clear,Medium,54,4.1,20,41,41.0,0,Completed,,4.4
ORD_000020,CUS_01502,RES_0097,DRV_0129,2025-10-17 14:19:00,2025-10-17,14,Friday,0,City_B,City_B_Area_8,35,Regular,Casual Dining,Asian,4.1,2,32.63,0,4.57,2.01,3.95,43.16,Credit Card,2.96,3.9,Clear,High,22,4.7,15,32,32.0,0,Completed,,4.4
ORD_000021,CUS_00007,RES_0106,DRV_0183,2025-10-06 08:37:00,2025-10-06,8,Monday,0,City_A,City_A_Area_3,18,New,Casual Dining,Local,5.0,1,13.54,0,1.9,0.84,4.65,20.93,Credit Card,2.77,5.3,Clear,Medium,35,5.0,11,29,33.0,0,Completed,,4.3
ORD_000022,CUS_00005,RES_0102,DRV_0163,2025-10-02 20:49:00,2025-10-02,20,Thursday,0,City_B,City_B_Area_8,20,New,Cafe,Local,3.4,10,55.53,10,7.0,3.45,3.4,63.83,Digital Wallet,5.41,2.8,Clear,Medium,60,4.9,19,34,29.0,0,Completed,,4.6
ORD_000023,CUS_06251,RES_0004,DRV_0028,2025-10-09 21:30:00,2025-10-09,21,Thursday,0,City_B,City_B_Area_3,18,Regular,Fast Food,Burger,4.2,4,34.99,0,4.9,2.11,3.85,45.85,Digital Wallet,2.73,3.7,Rain,Medium,60,4.5,14,28,32.0,0,Completed,,4.2
ORD_000024,CUS_00001,RES_0003,DRV_0136,2025-10-14 16:12:00,2025-10-14,16,Tuesday,0,City_C,City_C_Area_9,40,Premium,Cafe,Burger,4.8,1,6.36,5,0.85,0.23,0.0,7.12,Cash,0.0,3.4,Clear,High,16,4.4,9,22,24.0,0,Completed,,4.9
ORD_000025,CUS_00550,RES_0171,DRV_0139,2025-10-01 19:33:00,2025-10-01,19,Wednesday,0,City_B,City_B_Area_9,34,New,Casual Dining,Local,4.1,1,13.55,0,1.9,0.67,4.0,20.12,Credit Card,1.9,4.0,Cloudy,Medium,14,4.7,9,25,26.0,0,Completed,,4.9
ORD_000026,CUS_00069,RES_0021,DRV_0046,2025-10-17 17:10:00,2025-10-17,17,Friday,0,City_B,City_B_Area_10,24,New,Cafe,Local,4.2,2,13.52,15,1.61,0.48,4.25,17.83,Credit Card,1.84,4.5,Clear,Low,4,4.5,5,21,16.0,0,Completed,,4.7
ORD_000027,CUS_00001,RES_0003,DRV_0195,2025-10-11 16:26:00,2025-10-11,16,Saturday,1,City_C,City_C_Area_3,40,Premium,Cafe,Burger,4.8,1,5.69,0,0.8,0.19,0.0,6.68,Credit Card,0.0,3.2,Clear,Low,15,4.7,11,15,19.0,0,Completed,,5.0
ORD_000028,CUS_00047,RES_0001,DRV_0062,2025-10-29 09:06:00,2025-10-29,9,Wednesday,0,City_A,City_A_Area_7,34,Premium,Fast Food,Local,3.9,1,8.35,0,1.17,0.37,0.0,9.89,Digital Wallet,1.45,3.8,Rain,Low,6,4.8,9,19,24.0,0,Completed,,5.0
ORD_000029,CUS_00003,RES_0002,DRV_0095,2025-10-26 13:48:00,2025-10-26,13,Sunday,1,City_D,City_D_Area_6,25,Regular,Fast Food,Burger,3.6,1,8.52,0,1.19,0.32,7.25,17.28,Credit Card,2.39,10.5,Clear,Medium,48,4.8,7,46,47.0,0,Completed,,4.5
ORD_000030,CUS_02655,RES_0168,DRV_0024,2025-10-27 18:14:00,2025-10-27,18,Monday,0,City_A,City_A_Area_2,34,Regular,Fast Food,Local,4.1,5,47.43,5,6.31,1.78,3.65,56.8,Digital Wallet,7.57,3.3,Storm,Medium,47,4.5,15,30,39.0,1,Completed,,3.1
ORD_000031,CUS_00119,RES_0007,DRV_0042,2025-10-06 14:54:00,2025-10-06,14,Monday,0,City_A,City_A_Area_5,18,New,Cafe,Dessert,4.2,4,23.04,5,3.06,0.9,4.05,29.9,Credit Card,2.64,4.1,Clear,High,23,4.8,12,31,29.0,0,Completed,,4.6
ORD_000032,CUS_00002,RES_0003,DRV_0155,2025-10-29 17:10:00,2025-10-29,17,Wednesday,0,City_C,City_C_Area_10,28,Premium,Cafe,Burger,4.8,7,47.4,0,6.64,1.72,0.0,55.76,Credit Card,5.6,4.2,Clear,Low,46,4.5,21,30,35.0,0,Completed,,4.6
ORD_000033,CUS_00896,RES_0028,DRV_0105,2025-10-01 21:01:00,2025-10-01,21,Wednesday,0,City_B,City_B_Area_6,19,Regular,Casual Dining,Burger,3.2,4,61.77,0,8.65,3.74,4.6,78.76,Credit Card,8.31,5.2,Cloudy,High,60,4.3,16,45,46.0,0,Completed,,4.9
ORD_000034,CUS_00662,RES_0015,DRV_0090,2025-10-28 12:10:00,2025-10-28,12,Tuesday,0,City_A,City_A_Area_2,34,Premium,Cafe,Pizza,3.7,2,13.12,0,1.84,0.85,0.0,15.81,Digital Wallet,1.1,3.1,Clear,Medium,44,5.0,5,19,17.0,0,Completed,,4.9
ORD_000035,CUS_05116,RES_0001,DRV_0175,2025-10-19 20:45:00,2025-10-19,20,Sunday,1,City_A,City_A_Area_6,27,Premium,Fast Food,Local,3.9,1,10.09,0,1.41,0.34,0.0,11.84,Cash,0.0,4.5,Clear,Medium,6,4.3,7,24,27.0,0,Completed,,5.0
ORD_000036,CUS_00007,RES_0015,DRV_0007,2025-10-16 03:40:00,2025-10-16,3,Thursday,0,City_A,City_A_Area_8,18,New,Cafe,Pizza,3.7,6,36.0,0,5.04,1.13,6.95,49.12,Digital Wallet,0.0,9.9,Clear,Low,47,3.2,13,44,41.0,0,Completed,,4.9
ORD_000037,CUS_00023,RES_0004,DRV_0135,2025-10-26 20:44:00,2025-10-26,20,Sunday,1,City_B,City_B_Area_10,26,New,Fast Food,Burger,4.2,2,15.91,0,2.23,0.92,5.25,24.31,Credit Card,0.0,6.5,Clear,High,7,4.7,9,40,35.0,0,Completed,,4.1
ORD_000038,CUS_00385,RES_0001,DRV_0194,2025-10-18 08:54:00,2025-10-18,8,Saturday,1,City_A,City_A_Area_2,18,New,Fast Food,Local,3.9,1,8.43,0,1.18,0.26,6.45,16.32,Credit Card,0.0,8.9,Cloudy,Medium,28,4.0,13,40,50.0,1,Completed,,3.6
ORD_000039,CUS_01435,RES_0001,DRV_0003,2025-10-29 12:40:00,2025-10-29,12,Wednesday,0,City_A,City_A_Area_9,28,Premium,Fast Food,Local,3.9,1,10.04,5,1.34,0.54,0.0,11.42,Digital Wallet,0.85,3.2,Rain,Medium,48,4.8,20,20,35.0,1,Completed,,3.7
ORD_000040,CUS_00002,RES_0063,DRV_0048,2025-10-11 15:24:00,2025-10-11,15,Saturday,1,City_C,City_C_Area_7,28,Premium,Fast Food,Burger,3.8,2,17.22,0,2.41,0.57,0.0,20.2,Cash,0.0,3.8,Clear,High,55,4.2,6,28,20.0,0,Completed,,4.7
ORD_000041,CUS_01224,RES_0018,DRV_0130,2025-10-09 18:55:00,2025-10-09,18,Thursday,0,City_B,City_B_Area_4,34,Regular,Casual Dining,Burger,5.0,1,15.76,5,2.1,0.48,4.1,21.65,Digital Wallet,0.0,4.2,Rain,Low,6,4.5,12,22,28.0,1,Completed,,4.0
ORD_000042,CUS_00004,RES_0005,DRV_0017,2025-10-21 22:14:00,2025-10-21,22,Tuesday,0,City_A,City_A_Area_10,19,Regular,Fast Food,Dessert,4.3,2,17.28,0,2.42,1.05,5.05,25.8,Cash,0.0,6.1,Cloudy,Medium,2,4.4,16,32,41.0,1,Completed,,3.5
ORD_000043,CUS_00007,RES_0017,DRV_0194,2025-10-06 12:01:00,2025-10-06,12,Monday,0,City_A,City_A_Area_7,18,New,Casual Dining,Dessert,4.3,1,13.99,0,1.96,0.82,5.3,22.07,Credit Card,0.0,6.6,Clear,Low,28,4.0,11,28,27.0,0,Completed,,3.8
ORD_000044,CUS_07224,RES_0004,DRV_0111,2025-10-02 07:21:00,2025-10-02,7,Thursday,0,City_B,City_B_Area_10,42,Regular,Fast Food,Burger,4.2,7,65.57,0,9.18,3.29,2.45,80.49,Cash,0.0,0.9,Clear,Medium,14,4.4,24,25,30.0,0,Completed,,4.4
ORD_000045,CUS_00001,RES_0008,DRV_0181,2025-10-08 14:09:00,2025-10-08,14,Wednesday,0,City_C,City_C_Area_3,40,Premium,Casual Dining,Healthy,4.4,2,27.38,10,3.45,1.19,0.0,29.28,Cash,0.0,2.6,Clear,Medium,42,4.7,13,23,24.0,0,Completed,,4.5
ORD_000046,CUS_00058,RES_0029,DRV_0096,2025-10-22 12:35:00,2025-10-22,12,Wednesday,0,City_B,City_B_Area_10,30,New,Casual Dining,Pizza,3.5,6,87.44,10,11.02,2.45,3.85,96.02,Credit Card,0.0,3.7,Clear,High,15,4.3,33,45,49.0,0,Completed,,4.4
ORD_000047,CUS_00001,RES_0010,DRV_0039,2025-10-16 17:05:00,2025-10-16,17,Thursday,0,City_C,City_C_Area_1,40,Premium,Fast Food,Dessert,4.5,1,8.14,5,1.08,0.48,0.0,9.29,Credit Card,0.0,5.1,Clear,Medium,2,4.6,5,27,24.0,0,Completed,,4.8
ORD_000048,CUS_00001,RES_0063,DRV_0082,2025-10-27 21:31:00,2025-10-27,21,Monday,0,City_C,City_C_Area_4,40,Premium,Fast Food,Burger,3.8,2,20.34,0,2.85,0.86,0.0,24.05,Credit Card,2.06,1.3,Clear,Medium,23,4.7,12,15,21.0,1,Completed,,3.3
ORD_000049,CUS_00039,RES_0009,DRV_0111,2025-10-28 18:58:00,2025-10-28,18,Tuesday,0,City_B,City_B_Area_1,30,Regular,Casual Dining,Dessert,4.6,2,33.31,0,4.66,1.85,6.0,45.82,Credit Card,6.15,8.0,Cloudy,Low,14,4.4,13,36,38.0,0,Completed,,4.4
ORD_000050,CUS_00003,RES_0002,DRV_0159,2025-10-08 16:12:00,2025-10-08,16,Wednesday,0,City_D,City_D_Area_8,25,Regular,Fast Food,Burger,3.6,1,7.94,0,1.11,0.34,2.95,12.34,Digital Wallet,0.0,1.9,Clear,Low,8,5.0,10,13,21.0,1,Completed,,4.1
ORD_000051,CUS_01336,RES_0001,DRV_0199,2025-10-08 11:31:00,2025-10-08,11,Wednesday,0,City_A,City_A_Area_4,45,Regular,Fast Food,Local,3.9,5,43.31,0,6.06,1.97,4.1,55.44,Credit Card,0.0,4.2,Clear,Low,6,4.4,20,30,35.0,0,Completed,,4.9
ORD_000052,CUS_00034,RES_0004,DRV_0173,2025-10-14 11:35:00,2025-10-14,11,Tuesday,0,City_B,City_B_Area_7,30,Regular,Fast Food,Burger,4.2,1,8.84,10,1.11,0.3,4.95,14.32,Credit Card,0.0,5.9,Cloudy,Low,23,4.5,11,25,28.0,0,Completed,,4.7
ORD_000053,CUS_00005,RES_0019,DRV_0070,2025-10-01 13:01:00,2025-10-01,13,Wednesday,0,City_B,City_B_Area_2,20,New,Fast Food,Pizza,4.7,4,30.81,5,4.1,1.54,3.05,37.96,Credit Card,3.19,2.1,Cloudy,High,48,3.9,13,25,26.0,0,Completed,,4.5
ORD_000054,CUS_01410,RES_0027,DRV_0004,2025-10-07 21:12:00,2025-10-07,21,Tuesday,0,City_A,City_A_Area_3,37,Regular,Casual Dining,Local,5.0,1,15.31,0,2.14,0.75,4.5,22.7,Cash,0.0,5.0,Clear,High,41,4.5,13,33,32.0,0,Completed,,4.6
ORD_000055,CUS_00003,RES_0035,DRV_0092,2025-10-02 16:41:00,2025-10-02,16,Thursday,0,City_D,City_D_Area_8,25,Regular,Casual Dining,Local,4.8,3,40.69,0,5.7,2.71,4.05,53.15,Credit Card,7.74,4.1,Cloudy,Low,27,3.7,14,29,26.0,0,Completed,,4.7
ORD_000056,CUS_00001,RES_0122,DRV_0197,2025-10-15 14:06:00,2025-10-15,14,Wednesday,0,City_C,City_C_Area_3,40,Premium,Fast Food,Pizza,4.5,3,29.86,5,3.97,1.27,0.0,33.61,Credit Card,0.0,5.9,Clear,High,8,4.3,12,39,39.0,0,Completed,,4.9
ORD_000057,CUS_02469,RES_0004,DRV_0005,2025-10-27 15:58:00,2025-10-27,15,Monday,0,City_B,City_B_Area_6,35,Regular,Fast Food,Burger,4.2,3,24.38,10,3.07,1.25,3.1,29.36,Digital Wallet,0.0,2.2,Clear,Low,40,4.1,14,18,25.0,1,Completed,,4.3
ORD_000058,CUS_00002,RES_0003,DRV_0197,2025-10-24 20:56:00,2025-10-24,20,Friday,0,City_C,City_C_Area_7,28,Premium,Cafe,Burger,4.8,1,6.74,0,0.94,0.29,0.0,7.97,Digital Wallet,0.83,9.3,Clear,High,8,4.3,7,49,48.0,0,Completed,,5.0
ORD_000059,CUS_05391,RES_0004,DRV_0074,2025-10-28 18:31:00,2025-10-28,18,Tuesday,0,City_B,City_B_Area_9,35,New,Fast Food,Burger,4.2,2,18.17,10,2.29,0.88,6.4,25.92,Cash,0.0,8.8,Cloudy,Medium,32,4.6,10,42,42.0,0,Completed,,5.0
ORD_000060,CUS_00482,RES_0018,DRV_0098,2025-10-18 21:36:00,2025-10-18,21,Saturday,1,City_B,City_B_Area_8,35,Regular,Casual Dining,Burger,5.0,1,13.63,0,1.91,0.42,3.4,19.36,Cash,0.0,2.8,Clear,Medium,19,4.5,13,20,23.0,0,Completed,,4.5
ORD_000061,CUS_00735,RES_0091,DRV_0051,2025-10-04 17:35:00,2025-10-04,17,Saturday,1,City_A,City_A_Area_9,21,Regular,Fast Food,Burger,4.2,1,8.72,10,1.1,0.47,4.5,13.92,Credit Card,1.89,5.0,Clear,Medium,34,5.0,8,26,33.0,1,Completed,,3.7
ORD_000062,CUS_00048,RES_0004,DRV_0046,2025-10-18 10:28:00,2025-10-18,10,Saturday,1,City_B,City_B_Area_5,37,Regular,Fast Food,Burger,4.2,4,34.52,0,4.83,1.49,4.35,45.19,Credit Card,0.0,4.7,Clear,Medium,4,4.5,16,32,37.0,0,Completed,,5.0
ORD_000063,CUS_00007,RES_0016,DRV_0143,2025-10-29 02:38:00,2025-10-29,2,Wednesday,0,City_A,City_A_Area_3,18,New,Casual Dining,Asian,4.5,5,75.34,10,9.49,4.3,3.55,85.15,Digital Wallet,0.0,3.1,Rain,Low,6,3.7,21,33,36.0,0,Completed,,4.7
ORD_000064,CUS_00026,RES_0035,DRV_0164,2025-10-23 12:52:00,2025-10-23,12,Thursday,0,City_D,City_D_Area_9,19,New,Casual Dining,Local,4.8,2,31.78,5,4.23,1.17,4.8,40.39,Cash,0.0,5.6,Rain,High,21,4.3,16,40,49.0,1,Completed,,3.2
ORD_000065,CUS_01078,RES_0018,DRV_0142,2025-10-05 06:41:00,2025-10-05,6,Sunday,1,City_B,City_B_Area_9,31,Regular,Casual Dining,Burger,5.0,4,62.61,0,8.77,4.2,4.45,80.03,Credit Card,11.54,4.9,Clear,Medium,43,4.0,17,39,35.0,0,Completed,,4.7
ORD_000066,CUS_00006,RES_0234,DRV_0041,2025-10-29 13:10:00,2025-10-29,13,Wednesday,0,City_B,City_B_Area_10,27,Regular,Casual Dining,Local,4.3,1,17.01,15,2.02,0.82,3.5,20.8,Cash,0.0,3.0,Rain,High,21,4.8,15,24,34.0,1,Completed,,4.4
ORD_000067,CUS_01340,RES_0002,DRV_0092,2025-10-27 10:11:00,2025-10-27,10,Monday,0,City_D,City_D_Area_9,26,Regular,Fast Food,Burger,3.6,5,39.72,0,5.56,2.43,6.6,54.31,Digital Wallet,0.0,9.2,Clear,Medium,27,3.7,16,51,53.0,0,Completed,,4.2
ORD_000068,CUS_00003,RES_0179,DRV_0164,2025-10-16 13:55:00,2025-10-16,13,Thursday,0,City_D,City_D_Area_8,25,Regular,Fast Food,Local,4.7,6,50.16,5,6.67,2.31,5.75,62.38,Cash,0.0,7.5,Rain,Medium,21,4.3,22,47,58.0,1,Completed,,4.5
ORD_000069,CUS_00002,RES_0003,DRV_0023,2025-10-13 13:49:00,2025-10-13,13,Monday,0,City_C,City_C_Area_3,28,Premium,Cafe,Burger,4.8,2,10.73,15,1.28,0.43,0.0,10.83,Credit Card,0.0,5.0,Cloudy,Medium,6,4.7,7,26,26.0,0,Completed,,4.7
ORD_000070,CUS_00001,RES_0026,DRV_0014,2025-10-27 11:51:00,2025-10-27,11,Monday,0,City_C,City_C_Area_1,40,Premium,Casual Dining,Burger,4.8,2,34.26,15,4.08,1.87,0.0,35.07,Credit Card,0.0,2.0,Clear,Low,36,4.2,10,20,17.0,0,Completed,,5.0
ORD_000071,CUS_00001,RES_0008,DRV_0016,2025-10-09 18:35:00,2025-10-09,18,Thursday,0,City_C,City_C_Area_10,40,Premium,Casual Dining,Healthy,4.4,6,89.99,0,12.6,5.9,0.0,108.49,Cash,0.0,3.5,Clear,Low,19,4.1,28,38,39.0,0,Completed,,4.0
ORD_000072,CUS_00003,RES_0012,DRV_0106,2025-10-05 13:26:00,2025-10-05,13,Sunday,1,City_D,City_D_Area_8,25,Regular,Fine Dining,Asian,5.0,2,67.69,0,9.48,3.53,5.45,86.15,Cash,0.0,6.9,Clear,High,23,4.0,26,54,60.0,1,Completed,,3.8
ORD_000073,CUS_00001,RES_0008,DRV_0022,2025-10-27 21:26:00,2025-10-27,21,Monday,0,City_C,City_C_Area_7,40,Premium,Casual Dining,Healthy,4.4,1,12.85,0,1.8,0.46,0.0,15.11,Credit Card,1.21,4.4,Clear,High,51,5.0,10,30,32.0,0,Completed,,4.3
ORD_000074,CUS_00007,RES_0078,DRV_0003,2025-10-08 07:29:00,2025-10-08,7,Wednesday,0,City_A,City_A_Area_8,18,New,Casual Dining,Local,3.7,2,26.95,0,3.77,1.83,5.8,38.35,Credit Card,0.0,7.6,Clear,Low,48,4.8,13,35,35.0,0,Completed,,4.9
ORD_000075,CUS_00009,RES_0028,DRV_0072,2025-10-18 13:54:00,2025-10-18,13,Saturday,1,City_B,City_B_Area_9,28,Regular,Casual Dining,Burger,3.2,1,13.28,0,1.86,0.9,5.45,21.49,Credit Card,1.23,6.9,Clear,High,7,4.0,15,42,45.0,0,Completed,,4.1
ORD_000076,CUS_00077,RES_0035,DRV_0109,2025-10-03 19:00:00,2025-10-03,19,Friday,0,City_D,City_D_Area_10,37,Regular,Casual Dining,Local,4.8,2,33.91,0,4.75,1.08,6.35,46.09,Cash,3.4,8.7,Clear,Medium,43,4.8,15,46,47.0,0,Completed,,4.9
ORD_000077,CUS_00051,RES_0005,DRV_0125,2025-10-06 14:25:00,2025-10-06,14,Monday,0,City_A,City_A_Area_6,30,Premium,Fast Food,Dessert,4.3,2,19.71,15,2.35,1.06,0.0,20.16,Credit Card,1.38,5.7,Clear,High,54,4.3,16,36,43.0,1,Completed,,3.6
ORD_000078,CUS_00375,RES_0088,DRV_0046,2025-10-11 22:34:00,2025-10-11,22,Saturday,1,City_B,City_B_Area_9,29,Regular,Casual Dining,Local,5.0,6,87.38,0,12.23,3.93,5.05,108.59,Credit Card,7.42,6.1,Clear,Low,4,4.5,30,45,48.0,0,Completed,,5.0
ORD_000079,CUS_00003,RES_0002,DRV_0044,2025-10-23 10:59:00,2025-10-23,10,Thursday,0,City_D,City_D_Area_1,25,Regular,Fast Food,Burger,3.6,6,61.67,0,8.63,2.11,8.2,80.61,Credit Card,0.0,12.4,Rain,Medium,2,4.3,19,65,82.0,1,Completed,,3.2
ORD_000080,CUS_04851,RES_0004,DRV_0165,2025-10-14 12:07:00,2025-10-14,12,Tuesday,0,City_B,City_B_Area_2,18,Regular,Fast Food,Burger,4.2,7,71.59,0,10.02,2.54,7.75,91.9,Credit Card,9.9,11.5,Cloudy,High,24,3.8,26,75,85.0,1,Completed,,3.4
ORD_000081,CUS_00076,RES_0203,DRV_0177,2025-10-26 08:27:00,2025-10-26,8,Sunday,1,City_A,City_A_Area_3,20,New,Fast Food,Local,4.0,3,26.68,5,3.55,1.0,3.1,33.0,Digital Wallet,0.0,2.2,Clear,Medium,50,4.3,14,20,19.0,0,Completed,,4.0
ORD_000082,CUS_00030,RES_0010,DRV_0136,2025-10-24 11:03:00,2025-10-24,11,Friday,0,City_C,City_C_Area_3,24,Regular,Fast Food,Dessert,4.5,5,49.19,0,6.89,1.77,3.25,61.1,Credit Card,6.61,2.5,Clear,Medium,16,4.4,24,27,31.0,0,Completed,,4.6
ORD_000083,CUS_00003,RES_0002,DRV_0164,2025-10-19 18:30:00,2025-10-19,18,Sunday,1,City_D,City_D_Area_8,25,Regular,Fast Food,Burger,3.6,1,10.11,0,1.42,0.56,4.85,16.94,Digital Wallet,0.0,5.7,Clear,Low,21,4.3,8,24,23.0,0,Completed,,4.3
ORD_000084,CUS_00007,RES_0047,DRV_0143,2025-10-07 14:57:00,2025-10-07,14,Tuesday,0,City_A,City_A_Area_9,18,New,Casual Dining,Healthy,3.9,3,38.36,0,5.37,2.36,4.55,50.64,Credit Card,2.9,5.1,Clear,Medium,6,3.7,19,37,37.0,0,Completed,,5.0
